input_text,target_text
ALENDRONATO SODIO 70MG 4CPD G NEO,ALENDRONATO SOD. 70MG C/4 COMP BIO
AMOXICILINA 500MG 21CAP (AM) G NEO,AMPICILINA 500MG C/21 CAPS PRATI
ATENOLOL 50MG 30CPD G NEO,ATENOLOL 50MG C/30 COMP VITA
AXETILCEFUROXIMA 500MG 10CPD (AM) G NEO,AXETILCEFUROXIMA 500MG C/10 COMP RAN
AXETILCEFUROXIMA 500MG 14CPD (AM) G NEO,AXETILCEFUROXIMA 500MG C/14 COMP RAN
AZITROMICINA 500MG 5CPD (AM) G NEO,AZITROMICINA 500MG C/5 COMP CIM
CAPTOPRIL 25MG 30CPD G NEO,CAPTOPRIL 25MG C/30 COMP UQ
CETOPROFENO 150MG 10CPD LP G NEO,CETOPROFENO 150MG C/10 COMP
TROMETAMOL CETOROLACO 10MG 10CPD G NEO,CETOR. TROMETAMOL 10MG C/10 COMP EMS
FEXOFENADINA 120MG 10CPD G NEO,CL. FEXOFENADINA 120MG C/10 COMP CIMED
"TANSULOSINA 0,4MG 30CPD LP G NEO","CL. TANSULOSINA 0,4MG C/30 COMP NEO"
DOMPERIDONA 10MG 60CPD G NEO,DOMPERIDONA 10MG C/60 COMP RBX
EZETIMIBA 10MG 30CPD G NEO,EZETIMIBA 10MG 30 COMP ACT
MAL DEXCLORF 2MG 20CPD G NEO,MAL.DEXCLORF 2MG C/20 COMP NEO
NAPROXENO 550MG 20CPD G NEO,NAPROXENO 550MG C/20 COMP NEO
NITAZOXANIDA 500MG 6CPD G NEO,NITAZOXANIDA 500MG 6 COMP GER
OLMESARTANA+ANLODIPI 20+5MG 30CPD G NEO,OLMESARTANA + ANLO 20+5 MG 30 COMP
OLMESARTANA+ANLODIPI 40+10MG 30CPD G NEO,OLMESARTANA + ANLO 40+10 MG 30 COMP
OLMESARTANA+ANLODIPI 40+5MG 30CPD G NEO,OLMESARTANA + ANLO 40+5 MG 30 COMP
"OLMESARTANA+HCT 20+12,5MG 30CPD G NEO","OLMESARTANA + HCT 20/12,5MG C/30 NEO"
OLMESARTANA MED+HCT 40+25MG 30CPD G NEO,OLMESARTANA + HCT 40/25MG C/30 COMP NEO
PIROXICAM 20MG 15CAP GEL G NEO,PIROXICAM 20 MG 15 CAPS NEO
RIVAROXABANA 20MG 30CPD G NEO,RIVAROXABANA  20MG C/30 COMP EMS
RIVAROXABANA 15MG 30CPD G NEO,RIVAROXABANA  15MG C/30 COMP EMS
ROSUVASTATINA CALCICA 20MG 30CPD G NEO,ROSUVASTATINA 20MG C/30 COMP TEUTO
SUC METOPROLOL 25MG 30CPD LP G NEO ACCOR,SUC. METOPROLOL 25MG C/30 COMP BLAB
TOBRAMICINA 3MG/ML SL OF 5ML (AM) G NEO,TOBRAMICINA 3MG/ML SOL OFT FR 5ML
VALSARTANA 320MG 30CPD G NEO,VALSARTANA 320 MG 30 COMP NQ
AMOXICILINA 500MG 21CPS BIO,AMOXICILINA 500MG 21CAP (AM) G NEO
ALENDRONATO SOD. 70MG C/4 COMP BIO,ALENDRONATO SODIO 70MG 4CPD G NEO
ACICLOVIR 10G CR PRATI,ACICLOVIR 50MG CRM 10G G NEO
ATENOLOL 50MG C/30 COMP VITA,ATENOLOL 50MG 30CPD G NEO
AXETILCEFUROXIMA 500MG C/10 COMP RAN,AXETILCEFUROXIMA 500MG 10CPD (AM) G NEO
"CL. TANSULOSINA 0,4MG C/30 COMP NEO","TANSULOSINA 0,4MG 30CPD LP G NEO"
