Moleculas_Produto (Y),Matched_Price_File_Produto (X),Assigned_Price (Z),Similarity_Score,Price_Source_File
ACIDO MEFENAMICO 500MG C/12 COMP EMS,ACIDO MEFENAMICO 500MG COM C/ 12,"R$ 7,43",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ALBENDAZOL 400MG C/1 COMP TEU,ALBENDAZOL 400MG COM MAST C/ 1,"R$ 2,14",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ALOPURINOL 100MG C/30 COMP MED,ALOPURINOL 100MG COM C/ 30,"R$ 4,32",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ALOPURINOL 300MG C/30 COMP SDZ,ALOPURINOL 300MG COM C/ 30,"R$ 12,91",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
"ALPRAZOLAM 0,25MG C/30 COMP MED","ALPRAZOLAM 0,25MG COM C/ 30","R$ 4,44",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
"ALPRAZOLAM 0,5MG C/30 COMP ZYD","ALPRAZOLAM 0,5MG COM C/ 30","R$ 2,41",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ALPRAZOLAM 1MG C/30 COMP ZYDUS,ALPRAZOLAM 1MG COM C/ 30,"R$ 7,83",96.55% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
AMOXICILINA 500MG C/15 CAPS TEU,AMOXICILINA 500MG CAP GEL DURA C/ 15,"R$ 15,55",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
AMOXICILINA 500MG C/30 CAPS TEU,AMOXICILINA 500MG CAP GEL DURA C/ 30,"R$ 29,76",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
"APIXABANA 2,5MG C/ 20COMP NEO","APIXABANA COMP REV 2,5MG C/20","R$ 28,79",92.59% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
"APIXABANA 2,5MG C/ 60COMP NEO","APIXABANA COMP REV 2,5MG C/60","R$ 86,38",91.23% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
APIXABANA 5MG C/ 60COMP NEO,APIXABANA COMP REV 5MG C/60,"R$ 72,00",98.11% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ATENOLOL 25MG C/30 COMP PRATI,ATENOLOL 25MG COM C/ 30,"R$ 1,03",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ATENOLOL 50MG C/30 COMP VITA,ATENOLOL 50MG COM C/ 30,"R$ 6,06",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ATORVASTATINA 20MG C/30 COMP CIMED,ATORVASTATINA CALCICA 20MG COM REV C/ 30,"R$ 15,69",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
AZITROMICINA 500MG C/3 COMP TEU,AZITROMICINA 500MG COM REV C/ 3,"R$ 6,28",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
AZITROMICINA 500MG C/5 COMP CIM,AZITROMICINA 500MG COM REV C/ 5,"R$ 13,89",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
BES. ANLODIPINO 10MG C/30 COMP TEU,BESILATO DE ANLODIPINO 10MG COM C/ 30,"R$ 25,86",94.12% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
BES. ANLODIPINO 5MG C/30 COMP,BESILATO DE ANLODIPINO 5MG COM C/ 30,"R$ 3,54",93.94% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
BROM. CITALOPRAM 20MG C/30 COMP RAN,CITALOPRAM 20MG COM REV C/ 30,"R$ 12,51",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
BROMAZEPAM 3MG C/30 COMP TEU,BROMAZEPAM 3MG COM C/ 30,"R$ 5,24",90.91% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
BROMAZEPAM 6MG C/30 COMP UQ,BROMAZEPAM 6MG COM C/ 30,"R$ 10,21",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
