Moleculas_Produto (Y),Matched_Price_File_Produto (X),Assigned_Price (Z),Similarity_Score,Price_Source_File
ACECLOFENACO 100MG C/12 COMP CIMED,ACECLOFENACO 100MG 1 BL X 12 COMP REV,"R$ 4,99",100.00% (Verified),Tabela  Preços.xlsx
ACETILCISTEINA 600MG C/16 ENV EMS,ACETILCISTEINA 600MG 16ENV 5G G GER,"R$ 26,90",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
ACICLOVIR 200MG C/30 COMP UNIQ,ACICLOVIR 200 MG COMP 2 BL X 15,"R$ 8,59",100.00% (Verified),Tabela  Preços.xlsx
ALBENDAZOL 400MG C/1 COMP TEU,ALBENDAZOL 400MG COM MAST C/ 1,"R$ 2,14",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ALBENDAZOL 400MG C/1 COMP TEU,ALBENDAZOL 400MG 1CPD G GER,"R$ 2,05",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
ALBENDAZOL 400MG C/1 COMP TEU,ALBENDAZOL 400 MG COM MAST  1 BL X 1,"R$ 1,49",100.00% (Verified),Tabela  Preços.xlsx
AMOXICILINA 250MG 150ML SUSP TEU,AMOXICILINA 250MG/5MG 150ML (AM) G GER,"R$ 11,01",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
AMOXICILINA 250MG 150ML SUSP TEU,AMOXICILINA 250MG/5ML PO SUS OR FR 150ML,"R$ 7,99",100.00% (Verified),Tabela  Preços.xlsx
AMOXICILINA 500MG 21CPS BIO,AMOXICILINA 500MG CAP 1 BL X 21,"R$ 8,19",100.00% (Verified),Tabela  Preços.xlsx
AMOXICILINA 500MG C/15 CAPS TEU,AMOXICILINA 500MG 15CAP (AM) G GER,"R$ 8,99",96.77% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
ATENOLOL 100MG C/30 MULTI,ATENOLOL 100MG COM C/ 30,"R$ 14,20",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ATORVASTATINA 10MG C/30 COMP TEU,ATORVASTATINA CALC 10MG COMP REV 2BLX15,"R$ 6,49",100.00% (Verified),Tabela  Preços.xlsx
ATORVASTATINA 40MG C/30 COMP CIMED,ATORVASTATINA 40MG COMP REV 3BL X 10,"R$ 10,99",100.00% (Verified),Tabela  Preços.xlsx
AZITROMICINA 500MG C/3 COMP TEU,AZITROMICINA 500MG COMP REV 1 BL X 3,"R$ 4,99",100.00% (Verified),Tabela  Preços.xlsx
AZITROMICINA 500MG C/5 COMP CIM,AZITROMICINA 500MG COMP REV 1 BL X 5,"R$ 5,99",100.00% (Verified),Tabela  Preços.xlsx
BROMOPRIDA 10MG C/20 CAPS EMS,BROMOPRIDA 10MG 20CAP G GER,"R$ 8,64",96.55% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
CAPTOPRIL 25MG C/30 COMP UQ,CAPTOPRIL 25 MG COMP 1 BL X 30,"R$ 1,99",100.00% (Verified),Tabela  Preços.xlsx
"CARVEDILOL 12,5MG C/30 COMP BIO","CARVEDILOL 12,5MG COMP 2 BL X 15","R$ 4,79",100.00% (Verified),Tabela  Preços.xlsx
CARVEDILOL 25MG C/30 COMP ZYD,CARVEDILOL 25MG COMP 2 BL X 15,"R$ 6,49",100.00% (Verified),Tabela  Preços.xlsx
"CARVEDILOL 6,25MG C/30 COMP TOR","CARVEDILOL 6,25MG COMP 2 BL X 15","R$ 3,99",100.00% (Verified),Tabela  Preços.xlsx
CETOCONAZOL 200MG C/10 COMP CIMED,CETOCONAZOL 200 MG COMP 1 BL X 10,"R$ 3,79",100.00% (Verified),Tabela  Preços.xlsx
CETOCONAZOL 200MG C/30 COMP TEU,CETOCONAZOL 200 MG COMP 2 BL X 15,"R$ 9,39",100.00% (Verified),Tabela  Preços.xlsx
CETOCONAZOL 30G CR BIO,CETOCONAZOL+DIPROPIONATO BETAMET POM 30G,"R$ 10,64",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CETOPROFENO 20ML GTS TEU,CETOPROFENO 20MG/ML SOL OR C/ 20ML,"R$ 3,30",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CIT. SILDENAFILA 50MG C/4 COMP SDZ,CIT SILDENAFILA 50MG COMP REV 1 BL X 4,"R$ 1,99",100.00% (Verified),Tabela  Preços.xlsx
CL. DORZOLAMIDA + MAL. TIMOLOL 5ML COL TEU,DORZOLAMIDA SL OF 5ML G GER,"R$ 48,26",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. DORZOLAMIDA 2% 5ML COL BIO,DORZOLAMIDA SL OF 5ML G GER,"R$ 48,26",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. DORZOLAMIDA+MAL.TIMOLOL 5ML EMS,DORZOLAMIDA SL OF 5ML G GER,"R$ 48,26",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
