input_text,target_text
ALBENDAZOL 400MG COM MAST C/ 1,ALBENDAZOL 400MG C/1 COMP TEU
ACECLOFENACO 100MG 1 BL X 12 COMP REV,ACECLOFENACO 100MG C/12 COMP CIMED
ACICLOVIR 200 MG COMP 2 BL X 15,ACICLOVIR 200MG C/30 COMP UNIQ
ALBENDAZOL 400 MG COM MAST  1 BL X 1,ALBENDAZOL 400MG C/1 COMP TEU
AMOXICILINA 500MG CAP 1 BL X 21,AMOXICILINA 500MG 21CPS BIO
ATORVASTATINA CALC 10MG COMP REV 2BLX15,ATORVASTATINA 10MG C/30 COMP TEU
ATORVASTATINA CALC 20MG COMP REV 2BLX15,ATORVASTATINA 20MG C/30 COMP CIMED
ATORVASTATINA CALC 40MG COMP REV 3BLX10,ATORVASTATINA 40MG C/30 COMP CIMED
AZITROMICINA 500MG COMP REV 1 BL X 3,AZITROMICINA 500MG C/3 COMP TEU
AZITROMICINA 500MG COMP REV 1 BL X 5,AZITROMICINA 500MG C/5 COMP CIM
CAPTOPRIL 25 MG COMP 1 BL X 30,CAPTOPRIL 25MG C/30 COMP UQ
"CARVEDILOL 12,5MG COMP 2 BL X 15","CARVEDILOL 12,5MG C/30 COMP BIO"
CETOCONAZOL 200 MG COMP 1 BL X 10,CETOCONAZOL 200MG C/10 COMP CIMED
CIPROFIBRATO 100MG COMP 1BLX30,CIPROFIBRATO 100MG C/30 COMP VITA
CIT SILDENAFILA 50MG COMP REV 1 BL X 4,CIT. SILDENAFILA 50MG C/4 COMP SDZ
"DICLOF DIETILAMONIO 11,6 MG/G GEL BG 60G","DICLOF. DIETILAMONIO 11,6MG 60G GEL TEU"
DICLOF POTASSICO 50MG COMP REV 1 BL X 20,DICLOF. POTASSIO 50MG C/20 COMP TEU
DIPIRONA 1G COMP 1BL X 10,DIPIRONA 1G C/10 COMP NEO
DOMPERIDONA 10MG COMP 1 BL X 30,DOMPERIDONA 10MG C/30 COMP EMS
FINASTERIDA 1MG COMP REV 2 BL X 15,FINASTERIDA 1 MG 30 COMP BIO
FLUCONAZOL 150MG CAP 1 BL X 2,FLUCONAZOL 150 MG 2 COMP TEU
FUROSEMIDA 40MG COMP 1 BL X 30,FUROSEMIDA 40 MG 30 COMP BIO
GABAPENTINA 300MG CAPS 3 BL X 10,GABAPENTINA 300 MG 30 CAPS BIO
GLIBENCLAMIDA 5 MG 1 BL X 30 COMP,GLIBENCLAMIDA 5 MG 30 COMP BIO
GLIMEPIRIDA 4 MG COMP 1 BL X 30,GLIMEPIRIDA 4MG C/30 COMP TEU
HIDROCLOROTIAZIDA 25MG COMP 1 BL X 30,HIDROCLOROTIAZIDA 25MG C/30 COMP NEO
"LEVONORGESTREL 1,5 MG COMP 1 BL X 1","LEVONORGESTREL 1,5MG C/1 COMP CIMED"
LOSARTANA POTASSICA 50MG COMP REV 1BLX30,LOSARTANA 50MG C/30 COMP TEU
MAL DEXCLORF 2MG COMP REV 1BL X 20,MAL.DEXCLORF 2MG C/20 COMP NEO
MELOXICAM 15MG COMP 1 BL X 10,MELOXICAM 15 MG 10 COMP BIO
MIRTAZAPINA 15MG COMP 3 BL X 10,MIRTAZAPINA 15MG C/30 COMP NOVA
MIRTAZAPINA 30MG COMP 3 BL X 10,MIRTAZAPINA 30MG C/30 COMP NOVA
MONTELUCASTE 5MG COMP MAST 2BLX15,MONTELUCASTE SODIO  5MG C/30 COMP MAST BIO
NIMESULIDA 100 MG COMP 1 BL X 12,NIMESULIDA 100 MG 12 COMP
NIMESULIDA 50 MG/ML SUS OR FR 15 ML,NIMESULIDA 50MG GTS 15ML VITA
NORFLOXACINO 400MG COMP REV 1 BL X 14,NORFLOXACINO 400MG C/14 COMP TEU
OMEPRAZOL 20MG X 28 CAPS,OMEPRAZOL 20MG 28 CAPS EMS
PARACETAMOL 200 MG/ML SOL OR FR 15 ML,PARACETAMOL 200MG GTS 15ML GEO
PARACETAMOL 750 MG COM 2 BL X 10,PARACETAMOL 750MG C/20 COMP
RIVAROXABANA 10 MG COMP REV 1BL X 30,RIVAROXABANA  10MG C/30 COMP EMS
RIVAROXABANA 20 MG COMP REV 1BL X 30,RIVAROXABANA  20MG C/30 COMP EMS
RIVAROXABANA 15 MG COMP REV 1BL X 30,RIVAROXABANA  15MG C/30 COMP EMS
SIMETICONA 75MG/ML EMU OR FR 15ML,SIMETICONA 75MG GTS 15ML TEU
TADALAFILA 20MG 1 BL X 4 COMP,TADALAFILA 20MG C/2 COMP BIO
TADALAFILA 20MG 1 BL X 4 COMP,TADALAFILA 20MG C/4 COMP. BIOSIN
VALSARTANA 160MG COMP REV 2BL X 15,VALSARTANA 160 MG 30 COMP
VALSARTANA 320MG COMP REV 3BL X 10,VALSARTANA 320 MG 30 COMP NQ
